id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2019-970133,2019-02-25,1,Vente,170000,63,,BD DU GENERAL DE GAULLE,1090,64700,64260,Hendaye,64,,,64260000AL0027,,,13,62.15,,,,,,,,,1,2,Appartement,63.00,3,,,,,,-1.7793210,43.3541880,000AL
2019-970135,2019-02-22,1,Vente,295000,33,,RUE DU SIEGE,2085,64700,64260,Hendaye,64,,,64260000AH0253,,,55,93.77,,,,,,,,,1,1,Maison,93.00,6,,,,,,-1.7682660,43.3445910,000AH
2019-970137,2019-02-19,1,Vente,340000,29,B,RUE SAN MARTIAL,2018,64700,64260,Hendaye,64,,,64260000AI0373,,,2,118.57,,,,,,,,,1,1,Maison,117.00,6,S,sols,,,190.00,-1.7678540,43.3526800,000AI
2019-970137,2019-02-19,1,Vente,340000,29,B,RUE SAN MARTIAL,2018,64700,64260,Hendaye,64,,,64260000AI0373,,,2,118.57,,,,,,,,,1,1,Maison,117.00,6,AG,terrains d'agrément,,,281.00,-1.7678540,43.3526800,000AI
2019-970139,2019-02-14,1,Vente,180000,9001,,RUE POTENIA,1880,64700,64260,Hendaye,64,,,64260000AS0163,,,101,38.59,46,,,,,,,,2,2,Appartement,37.00,3,,,,,,-1.7602100,43.3729350,000AS
2019-970141,2019-02-28,1,Vente,175000,79,B,BD DU GENERAL DE GAULLE,1090,64700,64260,Hendaye,64,,,64260000AL0021,,,44,68.77,50,68.77,,,,,,,2,2,Appartement,67.00,4,,,,,,-1.7802990,43.3534660,000AL
2019-970143,2019-02-18,1,Vente,255000,18,,RTE DE LA CORNICHE,690,64700,64260,Hendaye,64,,,64260000AD1251,,,3,92.82,,,,,,,,,1,1,Maison,103.00,4,S,sols,,,292.00,-1.7534230,43.3735660,000AD
2019-970149,2019-02-08,1,Vente,365000,2,,BD DE LA MER,1490,64700,64260,Hendaye,64,,,64260000AW0036,,,130,,,,,,,,,,1,2,Appartement,74.00,3,,,,,,-1.7742530,43.3734560,000AW
2019-970152,2019-02-26,1,Vente,115000,1,,RUE DOLEAC,740,64700,64260,Hendaye,64,,,64260000AL0166,,,2,63.23,,,,,,,,,1,2,Appartement,65.00,3,,,,,,-1.7804700,43.3524680,000AL
2019-970153,2019-02-26,1,Vente,150000,13,,BD DU GENERAL LECLERC,1100,64700,64260,Hendaye,64,,,64260000AV0139,,,3,62.76,4,,,,,,,,2,2,Appartement,67.00,3,,,,,,-1.7704110,43.3670070,000AV
2019-970158,2019-02-20,1,Vente,95000,42,,RUE DU COMMERCE,680,64700,64260,Hendaye,64,,,64260000AL0005,,,15,50.47,,,,,,,,,1,2,Appartement,52.00,3,,,,,,-1.7815160,43.3526240,000AL
2019-970161,2019-02-28,1,Vente,380000,111,,AGUERRIA,B005,64700,64260,Hendaye,64,,,64260000AB0405,,,,,,,,,,,,,0,1,Maison,147.00,6,S,sols,,,357.00,-1.7483230,43.3750310,000AB
2019-970162,2019-02-28,1,Vente,130000,79,B,BD DU GENERAL DE GAULLE,1090,64700,64260,Hendaye,64,,,64260000AL0021,,,33,60.74,,,,,,,,,1,2,Appartement,60.00,2,,,,,,-1.7802990,43.3534660,000AL
2019-970169,2019-02-28,1,Vente,287000,14,,RUE ITHURRIA,1231,64700,64260,Hendaye,64,,,64260000AI0334,,,2,100.91,,,,,,,,,1,1,Maison,95.00,6,,,,,,-1.7694820,43.3525420,000AI
2019-970175,2019-03-04,1,Vente,,1,,RUE DU JAIZQUIBEL,1240,64700,64260,Hendaye,64,,,64260000AM0611,,,324,,,,,,,,,,1,2,Appartement,40.00,2,,,,,,-1.7733820,43.3590770,000AM
